MCU,NRF52,,ATMEL,,Apollo 3,,STM32,,NXP,
#1,297.9,57.8,314,87.4,280,105,302.8,77.5,304.3,152.2
#2,267.2,91.12,317,79.8,303.6,102.5,340.4,87.9,306.1,115
#3,296,106.1,287.6,69.75,431.4,123.9,302.1,95.6,271.6,98.7
#4,288.6,65,327.4,66.52,318.4,87.8,295.6,111.4,277.5,66.8
#5,296.3,119.1,328,93.9,337.1,94.8,320.7,67.4,333.2,142
#6,285.1,68.6,438.4,45,339.9,105,331.8,100.7,308.3,139.5
#7,341.3,29,281.8,93.1,313.5,57,327.9,62.1,341.7,91.7
#8,345.2,73,304.9,72.2,332.9,81,258.3,33,326.6,65.6
#9,353.1,52,308.6,60.8,351.1,80.9,351.8,22.5,340.2,91.7
#10,340.4,65,338.9,89.2,302.8,118.3,354.9,23.4,286.1,94.4
Average,311.11,72.672,324.66,75.767,331.07,95.62,318.63,68.15,309.56,105.76